21444 21528 21436 21528 21528 289400000
21521 21535 21464 21467 21467 310200000
21466 21492 21390 21410 21410 292500000
21407 21456 21394 21397 21397 270680000
21380 21421 21333 21394 21394 368400000
21434 21506 21381 21409 21409 241880000
21411 21440 21310 21310 21310 292170000
21372 21478 21372 21454 21454 271510000
21487 21487 21197 21287 21287 336750000
21348 21426 21325 21349 21349 313260000
21392 21562 21391 21479 21479 186810000
21492 21505 21404 21478 21478 273690000
21423 21433 21305 21320 21320 320450000
21354 21425 21350 21414 21414 242240000
21381 21446 21371 21408 21408 270340000
21410 21441 21279 21409 21409 247570000
21467 21580 21467 21532 21532 267870000
21537 21568 21512 21553 21553 232270000
21532 21681 21521 21637 21637 235590000
21633 21661 21617 21629 21629 244780000
21589 21589 21471 21574 21574 251110000
21569 21640 21565 21640 21640 253040000
21641 21661 21576 21611 21611 313950000
21591 21592 21503 21580 21580 362830000
21577 21577 21496 21513 21513 284080000
21638 21670 21577 21613 21613 304300000
21690 21742 21683 21711 21711 278240000
21717 21798 21687 21796 21796 407320000
21787 21841 21756 21830 21830 285630000
21863 21929 21861 21891 21891 307610000
21961 21990 21940 21963 21963 328410000
22004 22036 21967 22016 22016 336820000
22007 22044 21991 22026 22026 278730000
22058 22092 22024 22092 22092 253640000
22100 22121 22081 22118 22118 213010000
22095 22179 22057 22085 22085 262000000
22022 22057 21996 22048 22048 277800000
21988 21988 21843 21844 21844 303310000
21883 21911 21842 21858 21858 237790000
21945 22019 21945 21993 21993 235030000
22029 22038 21971 21998 21998 269070000
22031 22085 22002 22024 22024 264920000
21984 21984 21750 21750 21750 311030000
21724 21793 21641 21674 21674 309070000
21671 21718 21600 21703 21703 277880000
21739 21912 21738 21899 21899 244980000
21850 21866 21808 21812 21812 234810000
21839 21870 21765 21783 21783 228480000
21819 21906 21812 21813 21813 217570000
21832 21861 21767 21808 21808 218740000
21718 21879 21673 21865 21865 227340000
21859 21914 21839 21892 21892 242840000
21936 21985 21910 21948 21948 376790000
21981 22038 21974 21987 21987 256240000
21912 21921 21709 21753 21753 332840000
21815 21849 21794 21807 21807 318760000
21820 21850 21745 21784 21784 333810000
21764 21846 21731 21797 21797 289400000
21927 22067 21927 22057 22057 312770000
22090 22134 22087 22118 22118 364580000
22103 22158 22095 22158 22158 291890000
22144 22216 22135 22203 22203 297780000
