사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-05,4호선,0422,동대문역사문화공원,380,5,"12,159","1,768","7,020","14,912","9,790","32,599","14,208","94,143","17,582","50,697","19,994","43,081","24,064","38,557","28,221","37,169","34,770","42,681","41,164","41,333","50,992","35,632","57,731","32,143","73,430","33,887","107,378","38,393","66,300","50,719","53,812","32,227","50,428","22,854","47,032","18,392","29,001","12,464","4,829","3,629",1,17,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0423,충무로,133,8,"4,908","3,324","5,839","23,073","12,804","59,642","19,183","220,502","24,347","129,521","27,576","78,930","32,637","63,310","38,162","57,001","46,876","56,835","54,032","50,357","61,813","43,322","72,123","43,470","104,507","49,288","179,165","54,870","99,323","36,555","71,866","21,362","73,005","19,728","60,788","18,919","36,743","13,997","7,734","4,774",4,166,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0424,명동,62,1,"1,617","1,564","3,754","18,668","6,820","58,365","15,785","149,430","29,904","110,301","38,010","78,523","45,334","84,833","48,384","94,309","55,016","93,529","66,260","84,548","81,890","89,072","96,506","87,153","111,108","94,449","160,280","86,080","107,435","65,105","98,368","45,014","104,925","33,277","102,919","21,660","43,998","12,994","2,914","4,031",1,200,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0425,회현(남대문시장),50,2,"2,835","1,171","4,832","28,259","7,724","63,331","12,530","178,799","18,110","124,865","26,724","104,654","40,473","109,062","55,507","89,133","71,432","75,935","85,659","71,850","94,258","62,024","102,579","46,212","141,116","35,850","146,485","28,193","73,156","17,754","69,874","10,359","32,012","11,811","19,330","10,123","8,220","6,751",963,"2,126",1,182,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0426,서울역,231,8,"5,493","1,112","7,325","20,106","14,219","41,833","21,160","108,752","18,018","58,378","16,686","33,550","18,436","31,868","19,371","34,684","19,305","37,164","18,875","35,948","21,986","41,946","24,683","44,427","41,978","49,436","81,920","50,218","32,675","41,116","21,651","31,804","19,919","29,489","15,207","25,992","7,632","15,932",832,"5,569",1,672,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0427,숙대입구(갈월),7,0,"3,491",715,"9,195","8,784","21,103","27,373","34,023","75,644","24,809","43,627","20,699","38,181","22,825","29,717","26,369","24,528","28,960","27,702","28,455","24,739","34,065","23,790","45,829","25,939","47,612","32,014","70,407","43,345","37,917","32,295","29,963","21,016","29,697","19,814","24,864","20,294","12,187","13,676","1,920","3,619",1,0,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0428,삼각지,30,25,714,710,"2,402","5,379","6,881","11,422","9,369","29,334","6,650","14,030","5,044","9,656","5,525","9,017","6,593","9,255","7,947","8,780","7,704","8,069","8,002","8,375","9,028","8,663","12,869","10,516","27,548","14,257","11,550","10,401","8,545","6,707","7,994","6,063","6,526","5,906","3,275","4,133",388,"1,592",0,26,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0429,신용산,4,0,"1,744","1,492","4,944","14,886","13,088","34,851","19,230","109,483","16,155","66,032","14,495","30,227","17,982","24,992","18,881","23,137","23,009","26,662","23,202","25,318","28,372","25,543","35,982","26,096","52,589","28,789","103,112","36,413","51,178","24,959","34,754","15,733","31,556","12,848","22,250","10,367","10,785","6,056","1,683","1,797",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0430,이촌(국립중앙박물관),95,25,"1,504",867,"5,498","8,314","16,924","18,500","23,290","34,310","16,751","29,974","13,144","22,698","15,656","18,371","21,280","19,823","19,464","24,547","19,374","21,744","23,782","20,642","29,369","20,066","31,601","20,717","32,619","27,609","15,890","20,701","11,050","12,915","11,010","11,215","6,369","11,111","2,480","6,601",336,"2,389",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0431,동작(현충원),8,0,735,308,"1,957","2,612","6,081","4,259","8,443","10,977","5,956","8,607","4,734","4,765","8,747","4,064","5,719","6,175","4,564","7,555","5,323","5,700","8,379","5,680","6,972","5,976","6,981","6,891","8,971","9,230","4,883","6,928","3,865","5,294","3,694","4,070","3,179","3,790","1,223","2,546",277,"1,242",2,117,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0432,총신대입구(이수),141,4,"7,944","1,174","20,927","11,233","56,932","21,200","78,090","47,841","50,516","40,178","37,127","30,086","36,337","29,185","37,018","33,417","37,900","36,994","35,857","38,811","35,211","43,663","37,082","52,595","40,218","63,113","50,789","94,923","33,433","72,696","30,714","41,056","28,648","38,683","23,950","35,247","12,507","21,611","1,893","6,673",2,214,0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0433,사당,102,3,"12,948","1,459","30,146","20,296","82,942","33,029","103,415","48,271","80,291","39,420","55,672","29,659","46,455","34,979","48,990","36,619","49,756","35,189","47,176","33,763","43,616","39,575","46,081","49,969","57,129","70,149","63,614","109,138","44,447","84,485","39,632","47,634","43,672","44,998","40,471","44,229","22,595","30,814","3,119","10,858",6,"1,183",0,0,0,0,2019-06-03 10:56:25
2019-05,4호선,0434,남태령,27,0,496,133,"1,289","1,555","3,948","5,133","6,116","6,901","4,562","2,182","3,245","1,662","3,015","1,438","2,937","1,459","2,791","1,456","2,816","1,610","2,616","1,712","4,732","1,831","4,736","2,107","5,056","2,613","2,297","2,396","1,444","1,584",908,"1,532",538,"1,298",221,772,45,376,0,12,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1001,서울역,5,4,63,310,81,"2,130","9,052","3,101","18,943","4,233","16,093","3,265","14,747","2,176","17,232","1,606","14,785","2,158","12,532","1,916","6,281","2,061","18,234","2,391","13,957","3,328","16,838","4,256","16,900","5,631","16,260","3,756","12,982","2,423","10,515","2,405","11,274","1,597","6,013",428,"1,071",29,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1002,남영,107,4,"3,522","1,440","5,819","8,124","14,995","27,068","21,050","77,420","13,510","42,084","11,962","22,776","14,007","18,215","15,014","16,843","16,054","16,400","17,001","14,812","19,805","14,328","28,852","15,353","31,582","19,976","59,424","26,892","26,839","19,596","19,961","13,293","19,542","12,831","15,358","12,220","7,282","8,064",456,"1,822",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1003,용산,568,15,"7,411","7,124","7,468","44,534","24,589","92,774","36,782","176,975","46,070","123,159","41,316","92,907","53,669","79,897","53,696","79,138","68,536","86,050","67,129","83,041","95,172","81,162","105,484","82,026","132,417","84,943","183,535","100,680","120,393","67,104","113,056","46,618","106,152","37,751","72,557","25,125","31,569","10,588","2,030","4,025",1,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1004,노량진,568,7,"6,380","2,379","8,933","9,147","24,809","19,967","35,020","30,122","21,248","20,136","16,043","14,171","15,906","14,268","18,422","16,766","21,887","18,135","19,619","15,959","19,693","17,124","22,652","20,193","27,225","27,729","32,484","45,772","21,437","31,597","20,994","19,947","26,599","17,914","30,060","16,803","10,828","10,924",585,"2,785",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1005,대방,613,2,"7,011","2,759","14,024","12,946","38,960","39,867","50,863","61,319","31,661","31,179","22,996","18,663","21,523","15,879","23,151","17,352","24,353","19,758","22,380","18,713","23,292","19,991","24,716","23,179","37,439","30,421","55,351","44,631","23,743","33,904","18,780","24,726","17,217","24,750","14,651","22,482","4,631","15,247",255,"3,941",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1006,영등포,"3,926",51,"23,573","8,536","20,785","31,329","47,893","75,829","69,777","146,896","52,023","111,941","49,563","90,672","54,995","96,140","65,205","102,820","73,951","112,711","82,536","102,592","98,943","100,749","117,204","102,829","135,584","114,478","190,796","154,763","124,771","113,037","130,641","59,239","105,162","49,729","85,036","40,675","41,769","23,269","1,241","6,696",1,26,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1007,신도림,524,8,"2,737",595,"4,310","2,461","12,636","7,904","15,127","17,974","8,230","7,664","5,510","5,527","4,970","5,138","5,716","5,539","6,239","6,032","5,840","5,776","5,928","6,619","6,386","7,530","9,000","9,822","16,024","14,984","8,200","11,212","5,955","6,349","5,507","5,868","4,336","5,348","2,023","3,752",76,"1,954",0,26,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1032,신길,606,3,"14,709","2,887","12,786","7,974","29,132","19,973","38,749","32,962","24,296","12,245","16,034","8,064","13,680","7,607","15,156","8,711","13,814","9,528","11,901","9,705","13,647","11,797","16,248","13,955","21,500","20,054","36,766","26,394","15,705","21,002","10,437","14,479","10,774","15,720","7,369","15,031","3,475","9,613",264,"2,897",1,2,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1701,구로,"11,655",28,"28,685","5,653","22,862","14,156","45,859","37,829","48,559","93,965","35,238","54,792","28,978","33,670","27,711","29,302","29,429","27,623","31,173","30,650","30,122","28,783","31,945","30,671","36,397","34,751","51,477","46,739","84,676","58,637","40,033","43,378","33,006","27,313","23,708","28,373","17,628","26,371","8,699","19,463",132,"19,839",1,93,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1702,가산디지털단지,"1,665",12,"10,062","1,931","9,608","11,856","17,376","47,705","17,543","175,695","14,453","80,955","12,720","25,567","13,432","20,481","14,620","19,243","16,809","21,449","16,826","20,067","18,397","20,131","23,760","21,807","52,945","27,479","130,575","34,108","55,596","27,303","34,731","15,808","29,270","15,666","20,301","14,364","9,291","8,971",287,"1,425",11,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1703,금천구청,732,9,"12,912","1,731","23,119","7,128","57,433","17,727","54,289","33,572","34,407","13,683","24,302","11,231","21,038","12,443","20,546","14,259","19,463","16,285","16,272","17,719","16,125","21,058","17,804","25,846","20,752","32,559","30,534","48,446","15,092","41,968","10,314","25,224","8,891","24,209","7,120","21,392","2,736","15,303",87,"1,550",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1704,석수,460,2,"9,281","3,161","21,069","8,147","50,774","17,986","55,109","22,494","33,497","15,948","21,315","12,435","18,454","9,813","17,870","10,582","16,591","11,359","15,069","13,017","16,850","15,372","19,081","18,953","24,392","25,785","27,154","41,496","15,479","34,755","10,347","22,885","9,150","24,018","6,792","21,565","2,897","15,380",93,"1,267",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1705,관악,161,0,"7,732","2,294","15,083","5,799","40,128","7,791","40,163","13,255","21,451","14,879","14,567","14,663","12,701","10,735","16,436","10,288","15,101","10,197","13,521","10,593","12,855","12,249","15,102","14,695","17,250","19,416","14,593","33,226","9,144","28,494","7,484","17,997","6,751","18,131","4,644","16,263","1,585","12,152",93,"1,123",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1706,안양,296,3,"17,257","3,001","37,179","12,787","99,869","24,111","94,596","69,218","56,684","70,967","41,589","45,469","38,944","41,865","46,733","41,603","47,053","47,326","43,201","43,440","53,763","44,096","70,180","51,644","73,942","68,489","56,258","105,119","39,661","90,797","36,971","49,714","38,980","47,242","35,680","43,649","17,905","29,215",599,"4,861",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1707,명학,144,3,"8,278","2,548","11,468","9,427","31,227","25,560","29,627","71,820","16,405","18,819","12,830","12,784","11,818","17,874","13,661","11,174","12,754","13,286","14,929","13,278","13,492","10,632","18,861","12,852","32,433","17,569","45,605","24,723","18,494","22,176","17,071","13,737","13,122","13,452","8,893","12,209","3,814","9,793",168,"1,398",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1708,금정,316,6,"27,918","8,978","39,424","23,059","98,698","47,425","104,559","92,079","66,045","33,628","45,751","25,352","39,124","24,593","39,923","26,445","37,957","29,711","32,970","33,326","33,759","39,058","40,821","48,255","58,913","65,803","79,438","98,730","39,035","86,037","31,322","54,047","29,970","54,580","24,525","50,473","11,580","37,067","1,388","14,385",5,909,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1709,군포,42,0,"6,061","2,907","9,517","7,788","22,429","31,053","21,433","53,285","13,703","9,463","10,001","6,190","9,273","5,958","9,494","6,159","8,657","6,752","7,597","6,941","8,534","8,555","10,951","10,237","22,481","12,332","39,975","17,748","15,281","15,725","12,058","9,736","9,128","9,249","4,515","8,068","1,933","5,705",118,874,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1710,의왕,38,1,"7,370","2,747","14,064","8,428","34,223","27,831","36,245","31,829","18,948","12,780","14,013","9,360","12,845","8,065","13,768","10,226","13,219","10,583","12,332","10,778","13,655","12,272","16,831","15,918","28,982","20,174","29,059","28,699","14,507","26,872","11,056","17,980","9,124","17,964","5,604","14,827","2,669","11,079",138,"2,304",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1711,성균관대,159,3,"9,882","2,212","29,472","7,289","79,201","12,555","70,169","36,418","36,132","23,038","26,589","19,195","24,241","15,740","25,197","16,599","25,158","20,952","21,214","20,932","23,085","23,096","30,287","30,199","33,472","42,101","34,302","64,075","21,073","62,348","17,525","40,034","17,589","36,333","18,576","34,709","8,747","24,146",407,"5,390",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1712,화서,310,7,"8,019","2,502","22,414","5,184","48,244","8,746","41,763","15,071","22,465","8,645","15,822","7,307","13,323","7,327","12,788","9,027","11,639","10,182","10,116","10,637","10,074","13,347","11,868","17,214","15,933","23,779","13,423","35,095","8,263","35,195","6,473","20,873","5,723","18,203","4,687","17,334","1,807","11,571",127,"3,015",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1713,수원,"2,365",25,"24,690","7,846","42,930","39,208","92,857","71,445","101,611","114,805","71,228","105,557","62,008","84,898","63,998","86,104","70,569","95,288","74,331","98,114","76,489","89,652","91,238","95,754","119,717","114,788","133,726","133,265","133,831","153,452","112,103","145,606","114,180","77,926","92,471","68,824","83,351","59,484","35,081","39,321",986,"11,288",1,2,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1714,독산,773,3,"8,134","2,667","20,094","13,741","49,299","42,150","49,878","105,491","30,288","45,001","22,159","17,331","20,448","14,237","21,775","14,198","20,947","16,654","18,460","17,635","19,124","20,344","25,103","24,402","48,091","30,984","81,001","44,582","35,333","42,390","20,389","26,544","16,048","25,874","10,735","25,216","4,124","15,749",122,"1,278",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1715,세류,420,2,"3,692",926,"9,060","2,985","18,375","5,937","14,505","6,259","8,995","4,761","7,959","4,001","6,822","4,147","6,036","4,545","5,457","4,690","4,931","4,987","5,081","5,938","6,205","7,522","8,832","9,929","8,229","13,204","5,343","13,177","4,530","9,878","3,644","7,711","2,457","7,083",750,"4,625",14,"1,640",0,28,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1716,병점,"3,205",20,"8,024","4,885","28,599","13,139","60,805","23,123","54,642","39,020","38,450","31,770","29,877","24,675","28,316","18,138","29,839","24,761","27,117","22,140","26,495","23,923","29,917","25,971","36,929","32,989","45,194","43,972","49,098","53,738","28,902","55,662","19,683","37,420","18,157","36,542","14,772","33,872","4,607","22,577",45,"11,274",0,97,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1717,세마,254,2,"2,027",544,"6,574","1,551","12,006","4,404","11,627","8,121","8,747","2,816","5,925","2,596","5,216","2,683","5,508","2,715","5,033","3,221","4,334","3,733","4,630","4,269","6,693","5,404","7,376","8,355","7,681","10,030","3,702","9,107","2,909","7,839","2,277","6,831","1,602","5,294",591,"4,436",42,285,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1718,오산대,128,1,"2,316",899,"4,895","2,945","12,508","4,885","10,055","12,596","7,233","13,032","5,641","9,221","5,472","6,584","6,778","5,481","6,399","5,193","6,893","4,668","9,163","5,140","11,921","5,787","12,624","8,631","10,319","10,390","4,913","9,130","3,913","6,799","3,586","5,680","2,476","4,696",996,"4,136",39,235,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1719,오산,223,2,"6,154","1,854","14,345","10,572","30,210","19,499","29,972","25,193","23,187","17,395","20,722","12,624","19,360","13,242","20,208","15,241","19,137","14,638","17,459","16,004","19,603","18,296","23,263","24,147","29,699","28,643","32,939","29,972","17,681","33,650","15,533","21,721","12,861","20,162","10,283","17,658","3,429","10,182",129,767,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1720,진위,25,0,786,229,"2,013","2,305","4,671","7,664","4,007","8,986","3,271","1,993","2,405","1,370","2,343","1,327","2,431","1,493","2,269","1,745","1,971","1,592","2,549","1,919","4,191","2,450","7,123","3,377","9,686","3,346","3,806","2,971","2,409","2,609","1,427","2,320",613,"2,130",321,"1,227",12,87,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1721,송탄,71,0,"5,292",746,"8,723","3,662","15,789","6,471","14,982","9,718","13,041","5,766","10,148","4,766","10,214","5,401","9,938","6,400","9,380","7,394","8,500","7,111","8,479","9,307","11,660","11,698","11,750","13,826","11,632","16,110","7,339","14,076","5,436","14,013","4,405","10,999","2,666","8,680","1,313","9,022",42,966,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1722,서정리,26,0,"3,267","1,502","7,849","4,107","13,412","11,537","14,358","19,199","10,365","10,803","10,645","8,234","9,555","6,927","11,209","8,150","10,235","8,777","8,927","7,435","11,552","9,684","14,471","11,371","21,105","12,998","16,548","13,030","8,738","14,553","6,703","10,074","5,585","9,490","2,987","9,207","1,212","6,330",20,"1,361",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1723,지제,2,0,867,"3,756","2,572","5,129","7,812","10,598","6,179","7,481","4,858","3,290","3,571","2,414","3,295","2,803","4,215","2,835","3,446","2,730","3,287","2,734","4,740","4,017","6,016","4,645","11,814","4,796","10,207","7,223","6,161","5,925","3,852","4,683","3,863","4,040","2,481","3,167",999,"1,925",2,440,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1724,평택,72,2,"7,899","3,137","16,401","10,830","35,585","20,119","39,206","28,409","30,119","24,991","28,568","24,190","23,719","23,941","24,778","25,428","25,009","28,548","24,627","25,245","27,763","30,508","34,731","34,559","40,394","43,913","37,556","47,828","26,738","33,061","28,020","25,899","20,514","24,039","15,175","20,774","7,318","11,078",363,"2,005",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1725,성환,18,0,"1,870",710,"3,579","3,404","7,610","11,807","9,723","23,721","6,957","26,814","7,414","12,545","7,646","7,483","11,568","10,163","11,926","9,774","11,025","6,095","15,611","6,488","24,550","8,471","20,743","8,649","17,573","9,329","8,425","8,582","8,313","7,561","6,309","7,375","4,924","6,043","1,793","4,684",143,868,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1726,직산,48,0,561,355,"1,526",829,"2,277","3,238","2,092","3,662","2,139","2,083","1,709","1,322","1,634","1,474","1,474","1,297","1,594","1,329","1,514","1,402","1,808","1,397","1,838","1,910","2,570","1,808","3,680","2,868","1,387","2,189","1,096","1,573","1,352","1,345",421,"1,148",178,890,19,303,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1727,두정,"1,228",0,"4,541","1,094","8,954","3,072","16,240","9,499","14,721","26,274","11,881","24,001","10,068","18,397","10,497","14,628","13,008","12,437","10,353","8,832","11,842","10,994","12,976","9,228","16,211","12,635","18,928","14,425","20,488","18,640","12,774","14,947","10,620","13,231","9,837","12,068","7,300","9,653","2,954","7,573",283,"3,098",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1728,천안,"2,139",3,"3,086",786,"6,401","3,722","13,382","9,490","12,986","16,306","14,242","19,825","12,859","16,878","14,325","18,358","14,104","15,375","13,915","12,277","20,345","17,219","23,312","14,291","29,179","16,736","26,205","18,095","22,761","20,279","15,219","14,232","12,825","11,688","10,398","8,271","6,950","7,718","3,372","5,007",547,"2,777",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1729,당정,10,0,"4,209","1,148","11,891","3,996","32,854","10,791","30,332","21,837","17,225","13,887","12,266","9,370","10,782","7,030","12,214","8,927","11,255","8,582","10,060","8,289","11,482","9,899","13,808","13,026","17,792","16,572","19,662","23,924","10,018","23,238","7,718","16,129","7,310","15,238","5,844","14,947","2,713","10,835",143,"2,180",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1749,서동탄,1,0,"1,549",3,"4,920","1,118","13,348","1,659","6,514","2,877","3,906","1,071","3,031",998,"2,786","1,586","2,636","1,667","2,402","1,816","2,061","2,237","2,413","2,565","3,083","3,270","3,326","4,291","3,496","5,930","2,055","7,307","1,223","4,094","1,124","2,884",651,"2,592",146,"3,369",1,"1,447",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경부선,1750,광명,0,0,39,"2,242","2,294","3,092","16,136","3,857","7,053","3,558","7,717","4,560","3,847","3,143","4,223","3,051","4,400","3,580","3,974",204,"3,709","6,433","4,446",259,"10,385","6,286","4,483","4,938","12,914","13,238","5,042","12,439","4,907","3,973","2,669",89,"2,501","3,556",17,29,0,0,0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1801,개봉,"1,361",12,"21,173","6,473","43,156","14,448","115,461","18,726","112,654","29,750","70,235","24,485","48,596","21,177","41,612","23,125","42,655","30,053","39,553","28,234","34,440","35,559","32,657","40,710","35,074","53,073","38,763","69,765","40,388","101,732","25,547","93,102","19,215","59,209","18,115","54,234","13,075","49,418","5,977","32,905",214,"4,527",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1802,오류동,508,3,"13,181","2,694","20,728","6,884","59,077","8,360","57,933","14,045","35,571","13,430","24,765","12,908","21,308","11,663","23,783","13,854","22,154","16,046","18,226","17,679","18,411","20,635","19,637","26,190","20,181","29,000","20,120","46,724","12,550","44,450","10,289","27,023","8,519","26,484","6,658","24,008","2,813","17,926",172,"3,070",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1803,역곡,904,8,"30,226","4,531","53,449","14,558","150,258","16,592","146,222","45,454","85,055","50,198","56,527","33,478","48,343","37,902","51,045","34,332","49,274","43,161","41,752","40,951","44,441","48,650","52,606","59,479","58,009","78,228","53,765","127,007","35,134","120,596","29,270","77,047","27,009","68,912","23,647","66,519","13,665","44,059","1,061","9,352",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1804,부천,"2,355",14,"41,306","6,454","52,452","17,796","131,890","26,612","135,760","70,486","84,853","55,352","62,463","50,769","61,087","50,547","65,973","61,702","65,289","70,321","62,267","65,708","65,554","70,728","75,362","82,390","82,041","106,549","82,341","157,588","59,144","145,852","51,915","85,222","52,138","76,539","47,091","65,737","25,064","48,290","2,306","9,601",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1805,송내,"1,668",15,"19,888","10,967","47,908","23,525","141,727","47,324","120,563","108,673","74,079","54,943","52,665","33,206","48,330","29,963","53,403","32,850","46,587","37,592","40,937","37,769","41,824","43,476","52,271","54,728","66,086","73,662","98,848","111,748","49,638","110,928","35,280","68,713","31,680","61,369","27,219","61,207","12,455","40,622","2,055","8,794",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1806,부평,"7,842",62,"29,903","6,700","45,225","16,303","111,390","27,122","105,605","44,620","64,139","51,597","52,244","46,384","51,986","53,302","59,487","62,020","58,413","74,301","59,198","73,235","63,519","80,492","72,714","94,769","80,254","116,237","79,901","167,650","64,837","144,990","61,460","88,418","63,953","72,220","56,570","59,805","31,805","43,081","5,676","13,524",0,1,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1807,백운,127,5,"9,338","2,182","17,850","3,967","37,964","7,199","37,723","17,413","23,335","10,753","18,177","8,261","16,455","9,050","16,141","10,996","14,163","12,132","13,052","12,323","12,728","14,803","13,669","18,015","14,856","23,452","13,747","29,424","8,517","30,292","6,872","19,842","7,052","19,060","4,811","16,524","2,575","13,093",362,"3,882",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1808,동암,686,5,"24,344","4,868","36,812","10,841","74,201","18,161","74,177","21,832","45,613","18,785","34,512","18,904","31,113","18,777","31,570","21,186","29,741","22,145","26,097","25,072","24,774","30,542","26,943","35,076","30,384","51,157","30,832","67,485","20,995","63,889","16,845","46,132","15,665","42,196","11,851","38,384","6,080","27,936",580,"7,776",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1809,주안,"1,163",20,"17,013","4,029","31,911","11,990","80,137","28,006","75,549","48,492","48,637","41,342","37,738","30,757","38,559","26,890","45,034","33,144","42,855","28,771","37,913","31,626","44,003","31,811","45,546","41,113","54,467","53,990","57,021","74,460","36,860","76,495","32,193","48,623","31,497","41,831","27,578","41,932","15,755","30,807","1,151","9,238",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1810,제물포,"1,128",8,"8,321","2,320","16,445","6,624","44,413","17,121","41,377","40,984","24,514","25,668","18,100","14,165","17,135","11,638","20,302","14,039","19,582","15,481","17,133","13,869","22,944","14,184","30,477","19,700","31,833","25,662","30,806","32,630","15,571","31,580","11,657","21,931","9,592","19,975","7,090","19,632","3,250","15,321",97,"5,184",1,1,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1811,동인천,"1,957",33,"10,528","1,814","20,016","13,410","53,165","30,327","44,860","44,377","29,470","26,843","26,680","26,091","27,135","30,066","31,182","30,382","32,379","30,213","32,176","29,363","37,206","28,661","40,573","32,483","47,142","36,576","56,757","44,683","30,569","44,307","22,929","29,195","17,684","23,619","10,859","23,903","4,472","17,896",18,"6,470",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1812,인천,373,8,"1,328",822,"3,312","3,826","6,782","7,246","6,521","10,798","4,757","10,267","4,761","11,459","6,090","16,074","9,086","14,230","11,926","13,134","16,418","11,322","17,175","9,057","17,909","7,392","19,137","6,224","18,061","5,724","9,683","3,607","7,201","2,862","5,803","2,350","3,384","1,867","1,064","1,479",10,"1,390",0,34,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1813,구일,275,5,"4,326","1,549","10,760","4,357","32,518","10,082","29,149","22,224","16,347","16,150","11,734","9,129","10,716","7,140","11,824","11,502","10,731","15,107","9,801","11,325","11,696","12,031","22,707","16,576","20,722","22,567","16,810","36,191","10,145","28,999","10,754","15,127","17,113","13,353","11,490","13,020","2,981","8,202",104,"1,426",0,0,0,0,0,0,2019-06-03 10:56:25
2019-05,경인선,1814,소사,"1,090",18,"19,246","4,049","18,321","9,517","43,426","11,286","40,558","25,639","27,809","15,806","21,877","17,544","19,430","14,583","21,134","16,751","19,294","16,286","17,652","15,516","19,339","17,401","23,557","20,490","23,085","26,583","22,008","33,971","13,842","33,829","9,843","22,233","8,653","20,409","6,668","21,059","3,094","13,850",200,"4,440",0,0,0,0,0,0,2019-06-03 10:56:25
