Date,Open,High,Low,Close,Adj Close,Volume
2018-05-31,null,null,null,null,null,null
2018-06-01,50500.000000,51700.000000,49950.000000,51300.000000,50074.437500,13038499
2018-06-04,50800.000000,51200.000000,50700.000000,51100.000000,49879.214844,9767171
2018-06-05,51100.000000,51400.000000,50400.000000,51300.000000,50074.437500,9144100
2018-06-07,51800.000000,51800.000000,50500.000000,50600.000000,49391.160156,13590016
2018-06-08,50200.000000,50400.000000,49600.000000,49650.000000,48463.859375,16951706
2018-06-11,49750.000000,50300.000000,49350.000000,49900.000000,48707.882813,10571312
2018-06-12,49700.000000,49800.000000,49250.000000,49400.000000,48219.828125,12110569
2018-06-14,49000.000000,49000.000000,48200.000000,48200.000000,47048.492188,20971729
2018-06-15,48500.000000,48700.000000,47650.000000,47650.000000,46511.636719,17080892
2018-06-18,47600.000000,47650.000000,46200.000000,46600.000000,45486.718750,16661870
2018-06-19,47200.000000,47350.000000,46500.000000,47000.000000,45877.164063,15217971
2018-06-20,47450.000000,47600.000000,46850.000000,47000.000000,45877.164063,12959316
2018-06-21,47900.000000,47900.000000,47050.000000,47050.000000,45925.972656,10015541
2018-06-22,47000.000000,47250.000000,46200.000000,47250.000000,46121.191406,10298006
2018-06-25,47050.000000,47050.000000,46150.000000,46650.000000,45535.523438,10587711
2018-06-26,45900.000000,47300.000000,45900.000000,47000.000000,45877.164063,11223166
2018-06-27,47450.000000,48500.000000,47000.000000,47950.000000,46804.468750,15274752
2018-06-28,46850.000000,47150.000000,46600.000000,46800.000000,46021.707031,12784800
2018-06-29,46250.000000,47150.000000,46200.000000,46650.000000,45874.199219,14099635
2018-07-02,46500.000000,47150.000000,45500.000000,45550.000000,44792.496094,13112253
2018-07-03,45750.000000,46450.000000,45750.000000,46150.000000,45382.515625,10959655
2018-07-04,46700.000000,47050.000000,46050.000000,46250.000000,45480.851563,8776763
2018-07-05,46100.000000,46550.000000,45600.000000,45950.000000,45185.839844,7039773
2018-07-06,45500.000000,45850.000000,44650.000000,44900.000000,44153.304688,17843706
2018-07-09,45500.000000,46100.000000,45200.000000,45600.000000,44841.660156,11602464
2018-07-10,46200.000000,46550.000000,46100.000000,46300.000000,45530.019531,10528665
2018-07-11,46400.000000,46450.000000,45400.000000,46000.000000,45235.011719,11224077
2018-07-12,45900.000000,46250.000000,45450.000000,45500.000000,44743.328125,11828104
2018-07-13,45800.000000,46500.000000,45750.000000,46500.000000,45726.695313,11543389
2018-07-16,46800.000000,46800.000000,46000.000000,46050.000000,45284.179688,7678719
2018-07-17,46150.000000,46200.000000,45600.000000,45850.000000,45087.507813,8892953
2018-07-18,46700.000000,47200.000000,46450.000000,46550.000000,45775.863281,10952645
2018-07-19,47050.000000,47200.000000,46600.000000,46900.000000,46120.042969,9880128
2018-07-20,47000.000000,47600.000000,46700.000000,47450.000000,46660.898438,10474547
2018-07-23,47100.000000,47200.000000,46150.000000,46500.000000,45726.695313,10823782
2018-07-24,46350.000000,46600.000000,45950.000000,46150.000000,45382.515625,8261363
2018-07-25,46250.000000,46550.000000,45900.000000,46150.000000,45382.515625,7222471
2018-07-26,46100.000000,47000.000000,46000.000000,46900.000000,46120.042969,7374946
2018-07-27,46450.000000,47000.000000,46450.000000,46900.000000,46120.042969,4762460
2018-07-30,46550.000000,46800.000000,46350.000000,46500.000000,45726.695313,5723035
2018-07-31,46200.000000,46450.000000,46000.000000,46250.000000,45480.851563,8033607
2018-08-01,46050.000000,46850.000000,46050.000000,46550.000000,45775.863281,7484499
2018-08-02,46550.000000,46800.000000,45500.000000,45550.000000,44792.496094,8560924
2018-08-03,45850.000000,45900.000000,45450.000000,45750.000000,44989.167969,8274944
2018-08-06,46150.000000,46150.000000,45750.000000,45800.000000,45038.335938,6771979
2018-08-07,46300.000000,46750.000000,45900.000000,46700.000000,45923.371094,9058174
2018-08-08,47000.000000,47000.000000,46550.000000,46800.000000,46021.707031,6429338
2018-08-09,47000.000000,47050.000000,46450.000000,46900.000000,46120.042969,12010886
2018-08-10,46150.000000,46400.000000,44850.000000,45400.000000,44644.988281,16670643
2018-08-13,44950.000000,45100.000000,44650.000000,45050.000000,44300.808594,9803831
2018-08-14,44850.000000,45400.000000,44850.000000,45150.000000,44399.148438,6409259
2018-08-16,43800.000000,44650.000000,43700.000000,44250.000000,43514.117188,10088229
2018-08-17,44050.000000,44400.000000,44050.000000,44100.000000,43366.609375,6808747
2018-08-20,43500.000000,44200.000000,43500.000000,43850.000000,43120.765625,7289124
2018-08-21,43700.000000,44900.000000,43700.000000,44800.000000,44054.968750,9520270
2018-08-22,45150.000000,46200.000000,44900.000000,46100.000000,45333.347656,11641656
2018-08-23,46150.000000,46200.000000,45700.000000,46200.000000,45431.687500,6730918
2018-08-24,45900.000000,46400.000000,45550.000000,46150.000000,45382.515625,6582535
2018-08-27,46100.000000,46550.000000,46000.000000,46300.000000,45530.019531,5263782
2018-08-28,46800.000000,46950.000000,46300.000000,46550.000000,45775.863281,7365976
2018-08-29,46750.000000,46800.000000,46400.000000,46800.000000,46021.707031,5572374
2018-08-30,46950.000000,47950.000000,46700.000000,47650.000000,46857.570313,12193231
2018-08-31,47100.000000,48450.000000,47000.000000,48450.000000,47644.269531,13577454
2018-09-03,48200.000000,48300.000000,47300.000000,47450.000000,46660.898438,8595084
2018-09-04,47550.000000,47800.000000,47200.000000,47650.000000,46857.570313,6791255
2018-09-05,47300.000000,47450.000000,46400.000000,46600.000000,45825.031250,9139998
2018-09-06,46200.000000,46400.000000,45800.000000,46100.000000,45333.347656,9040553
2018-09-07,44500.000000,45200.000000,44400.000000,44900.000000,44153.304688,18285508
2018-09-10,45450.000000,45550.000000,45000.000000,45500.000000,44743.328125,9979838
2018-09-11,45550.000000,45900.000000,45050.000000,45050.000000,44300.808594,9865790
2018-09-12,44900.000000,45100.000000,44500.000000,44550.000000,43809.125000,12995269
2018-09-13,44550.000000,44750.000000,44000.000000,44050.000000,43317.437500,18277942
2018-09-14,45000.000000,45850.000000,44900.000000,45850.000000,45087.507813,12446344
